type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,sanitized_property_summary
single_family,,1000000.0,1990.0,1.0,6.0,3.0,3.0,3.0,,1912.0,"Fully remodeled Craftsman property with additional ADU in the heart. This unique opportunity features a beautifully updated main home offering 3 bedrooms and 1 bathroom. Centrally located near major freeways, shopping, dining, and just minutes."
single_family,,2388888.0,1709.0,2.0,4.0,3.0,3.0,3.0,2.0,1960.0,"Lovingly maintained for nearly 20 years on a nearly 7,000sf lot, this home offers prime access to major tech campuses, commute routes, & upscale dining. The main level includes three bedrooms and two baths, including a marble-tiled ensuite, with sliders opening to a large backyard patio & powered outbuilding."
single_family,,809000.0,1877.0,1.0,4.0,2.0,1.0,1.0,2.0,1955.0,"Four bedroom, one and a half bath home sits on a large lot in one of the area's most sought after. Quick access to the 91 and 5 freeways makes commuting effortless in any direction."
single_family,,845000.0,1352.0,,2.0,2.0,2.0,2.0,2.0,1979.0,"The home has New floors, new paint, newly updated bathrooms and an unparalleled view of the park. The high ceilings will give you plenty of natural light and air. A detached provides you added security and an additional carport gives you ample of parking for 3 cars."
single_family,,599000.0,3535.0,2.0,4.0,3.0,2.0,3.0,3.0,2006.0,"Soaring ceilings, natural light, and thoughtful design set the stage for a home that's as inviting as it is functional. The open-concept layout flows seamlessly into a gourmet kitchen with granite counters, new stainless steel appliances, and a large island. Upstairs, the spacious loft makes a great game room, theater space, or study lounge."
single_family,,799000.0,2032.0,1.0,3.0,2.0,2.0,2.0,2.0,1957.0,"Just steps from the shopping and dining yet tucked away on a quiet street. The lush, secluded backyard is a true retreat -- featuring a pool and above ground spa. A private front yard with putting green sets the tone for relaxed resort-style living."
single_family,,129000.0,860.0,1.0,2.0,2.0,2.0,2.0,1.0,1970.0,Clean and remodeled mobile home on a level lot. 2 large wooden utility sheds. financing for this unit is a possibility with 25% down.
single_family,,1052000.0,2053.0,1.0,3.0,2.0,2.0,2.0,3.0,1986.0,Located in the sought after neighborhood that is nestled between The Summit and Silver Spur Ranch! The oversized built in pool has been recently completely resurfaced with a brilliant white finish. The Owners of this property have maintained it meticulously.
single_family,,1590000.0,2172.0,1.0,4.0,3.0,3.0,3.0,2.0,1979.0,"Tucked away on a desirable cul-de-sac, this lovely home offers the perfect blend of comfort, flexibility, and classic charm. Set on an expansive 11, 400 sq ft lot with open space behind, the home enjoys peaceful views of lush and mature trees. Adding exceptional versatility is the attached ADU above the garage, included in the 2, 172 sq ft of living space."
single_family,,729000.0,3227.0,1.0,4.0,4.0,2.0,2.0,3.0,1987.0,Charming is on the market for the first time since it was built in 1987. The property is perfect for investors or buyers ready to restore and reimagine a timeless classic.
single_family,,1699900.0,3000.0,2.0,4.0,4.0,4.0,4.0,3.0,2002.0,"The home is filled with designer finishes, beginning with a grand entry highlighted by a custom front door with speakeasy, elegant chandelier, and travertine flooring with mosaic inlays. The gourmet kitchen features granite countertops, a large center island, double ovens, custom cabinetry with glass doors, stone backsplash, and a walk-in pantry."
single_family,,2175000.0,2458.0,2.0,4.0,3.0,3.0,3.0,3.0,1998.0,"Live like you're on vacation every day while owning your own private ocean-view resort complete with pool and spa. Heart of the home seamlessly blends the kitchen, family room, and outdoor living spaces for a indoor-outdoor lifestyle."
single_family,,2595000.0,3701.0,1.0,4.0,4.0,3.0,3.0,2.0,2006.0,Understated elegance and thoughtful craftsmanship define this extensively refreshed residence. Recent renovations transformed the main living spaces by introducing architectural ceiling beams and a refined material palette.
single_family,,998000.0,1250.0,1.0,3.0,2.0,2.0,2.0,2.0,1960.0,"1,250sqft single-story residence sits on a 6,000sqft lot. Built in 1960, the home offers solid structure and excellent potential to make it your own. The home is zoned for and the highly rated La local schools School."
single_family,,1350000.0,2089.0,1.0,3.0,2.0,2.0,2.0,2.0,1976.0,"single-story residence offers one of the community's most desirable floor plans. Three spacious bedrooms, two bathrooms, and a versatile den with fireplace that can easily be converted into a fourth bedroom. Nestled in a private setting adjacent to greenbelts and near the community pool, park, and scenic lakes."
single_family,,1325000.0,3871.0,2.0,5.0,5.0,4.0,4.0,,2016.0,"5-bedroom, 4.5-bath home offers approximately 3,871 sq ft in a sought-after neighborhood. Move-in-ready home features a grand entry, open-concept floor plan, and high-end finishes throughout. Energy-efficient owned solar adds long-term value."
single_family,,535000.0,1305.0,1.0,3.0,2.0,2.0,2.0,,1952.0,"3-bedroom, 2-bath home comes with a 14x16 powered workshop large enough for an office, studio, hobby space, or even ADU-style potential with the right vision. Fenced front yard, extra storage shed, and included security-camera system add convenience and peace of mind."
single_family,,7500000.0,6347.0,1.0,6.0,8.0,7.0,7.0,4.0,1991.0,"Six bedrooms, seven and a half baths, including guest house. 9,200 sq. ft. on 1.99 acres. Privately gated, circular driveway leads to a towering portico and elegant formal foyer."
single_family,,579000.0,1802.0,3.0,2.0,2.0,2.0,2.0,,1996.0,"Stunning mountain home with newer metal roof perfect for entertaining. Chef's kitchen is well equipped with Viking stainless steel appliances, custom pebble stone back wall and tiled counters. Great room looks up to a loft with an extra sleeping quarters and an area to watch tv, read a book or take the view."
single_family,,873000.0,2286.0,2.0,5.0,3.0,3.0,3.0,,1989.0,"5-bedroom, 3-bath residence set on 1/2 acre lot with a 3-car garage and parking. Located near hiking trails, open spaces, and a nearby elementary school."
single_family,,2699000.0,3468.0,1.0,4.0,5.0,3.0,3.0,3.0,1976.0,"Entertainer's estate features 4 bedrooms, 5 bathrooms, and 3,468 sq ft of luxurious living space. Nestled on an elevated lot with a sloped driveway, this villa-style home welcomes you through grand custom double doors into an elegant interior."
single_family,,1895000.0,3533.0,2.0,4.0,4.0,3.0,3.0,2.0,2003.0,"Gated 4BR/3.5BA home plus two additional rooms has sweeping views of the surrounding hills and valley. Originally constructed in 2003, this thoughtfully designed spacious 3, is highlighted by an ideal layout, soaring ceilings and an abundance of natural light."
single_family,,6550000.0,5640.0,2.0,6.0,7.0,6.0,6.0,3.0,1987.0,"The 6-bedroom, 6.5-bath estate spans approximately 5,600 on nearly an acre of land. The recently completed $1.5M renovation introduces a striking chefs kitchen with premium appliances and a statement Carrara marble waterfall island."
single_family,,1995000.0,2406.0,2.0,4.0,3.0,3.0,3.0,2.0,1971.0,"4 bedrooms and. Freshly painted throughout with new carpeting, the home also showcases hardwood floors in beautiful condition. The split-level layout adds flexibility and functionality."
land,,150000.0,,,,,,,,,Property features standard residential amenities and layout.
single_family,,599000.0,1588.0,1.0,3.0,2.0,2.0,2.0,1.0,1997.0,"Located on a corner lot in a court, 5100 Sundance offers 1,588 sq ft of comfortable living space on a generous 5,800 sq ft lot. This 3-bedroom, 2-bath single-family residence provides a functional floor plan and a convenient location."
multi_family,,1495000.0,2383.0,,6.0,,,,,1910.0,2 Distinct Homes come together on one lot. Modern new a reimagined 1910 Craftsman by local builder. New all-electric 3BD/2BA contemporary offers open-plan living.
single_family,,1575000.0,2389.0,2.0,5.0,3.0,2.0,2.0,2.0,1986.0,"Set on a generous lot with scenic views this expansive home offers a perfect blend of comfort, flexibility, and style-ideal for modern living. Designed with versatility in mind, the home features an open-concept layout flooded with natural light."
single_family,,650000.0,2196.0,2.0,4.0,3.0,2.0,2.0,2.0,2005.0,"Tucked at the end of a secluded court with no rear neighbors, this spacious 4-bedroom home offers the privacy and comfort so many buyers are looking for. With 2,196 sq ft of well-designed living space, this two-story residence blends functionality and style in a prime Oakley location."
single_family,,1148000.0,2146.0,1.0,3.0,2.0,2.0,2.0,2.0,1949.0,"3-bedroom home plus library/office is perfectly situated in one of most sought-after neighborhoods. Classic details shine throughout - hardwood floors, a formal dining room ideal for gatherings, and a stone fireplace."
single_family,,2490000.0,2240.0,2.0,3.0,3.0,2.0,2.0,2.0,1977.0,"Gourmet kitchen features sleek cabinetry, stainless steel appliances, a center island, and a sunny breakfast nook. The spacious primary suite offers two walk-in closets, ample room for a desk or sitting area, modern window treatments. A rare highlight: a deep-water dock that can accommodate a large boat."
condos,condo,980000.0,1900.0,1.0,3.0,3.0,2.0,2.0,2.0,2009.0,"Tucked into a prime pocket, this stylish 2009-built condominium offers the best of convenience and comfort. With only one shared wall, the home lives more like a private residence than a typical condo."
townhomes,townhouse,899000.0,1700.0,2.0,3.0,2.0,2.0,2.0,2.0,1976.0,features 3 bedrooms and 2 bathrooms. Light-filled interiors w/voluminous ceilings & welcoming gas fireplace create an inviting atmosphere for everyday living.
single_family,,2599000.0,2096.0,2.0,3.0,3.0,3.0,3.0,2.0,1931.0,"One of the original 1930s summer residences built at the end set on an expansive lot of more than half an acre, an exceptionally rare offering. The home features three spacious bedrooms and three bathrooms, a generous living room, a separate den, an updated kitchen, and two distinct dining areas."
single_family,,1495000.0,2383.0,2.0,6.0,3.0,3.0,3.0,1.0,1910.0,2 Distinct Homes come together on one lot. Modern new a reimagined 1910 Craftsman by local builder. New all-electric 3BD/2BA contemporary offers open-plan living.
single_family,,1179000.0,2367.0,1.0,3.0,4.0,3.0,3.0,3.0,1998.0,"Beautiful, office, SINGLE, great views from back yard. 3 CAR GARAGE. 3 full baths, 1, 1/2 bath. HVAC was replaced in 10/2022. 240 volt charging port in garage. All bedrooms have on suite bathrooms."
townhomes,townhouse,850000.0,1303.0,3.0,2.0,3.0,2.0,2.0,2.0,2016.0,"With 2 bedrooms and 2.5 baths, the layout feels warm, inviting, and wonderfully private. Enjoy close proximity to neighborhood parks and easy commuting via and, plus quick access to Highways 87, 85, 280, and 101."
single_family,,1495000.0,2131.0,2.0,3.0,2.0,2.0,2.0,,1900.0,"Reet is a remarkable transformation of a turn-of-the-century Victorian cottage. Originally built in 1900, the residence has been comprehensively reimagined and expanded to offer more than 2,100 square feet* of refined interior space."
single_family,,1895000.0,2066.0,1.0,3.0,3.0,2.0,2.0,,1954.0,"Perched on a nearly flat half-acre lot with a private gated driveway, this stunning single story home in the highly desirable neighborhood offers space, privacy, and elevation just minutes from the heart of downtown. The home was completely remodeled in 2022, with new plumbing, electrical, drywall, and roofing. The updated kitchen and bathrooms feature quartz countertops, custom cabinetry, and designer lighting."
single_family,,2695000.0,3496.0,3.0,4.0,4.0,3.0,3.0,2.0,1911.0,"Home designed 1910, completed 1911 by, independent professional woman who enrolled at 42, later died serving Armenian genocide relief efforts. Home damaged in catastrophic 1923, carefully reconstructed preserving original character. Sits atop airway, connecting one of a most distinctive architectural enclaves."
single_family,,899000.0,1488.0,2.0,2.0,1.0,1.0,1.0,,1919.0,"is a dreamy oasis on one of the most cherished blocks in prime. Offering hardwood floors throughout, an updated kitchen and bathroom, two bedrooms with ample closet space and one full bathroom all situated on one level."
townhomes,townhouse,635000.0,1290.0,3.0,2.0,3.0,2.0,2.0,2.0,2023.0,"2-bedroom, 2.5-bath residence offers the perfect blend of style, comfort, and convenience. The community offers an impressive array of resort-style amenities, including a sparkling pool, clubhouse, playground, and barbecue area."
single_family,,1650000.0,3417.0,3.0,4.0,3.0,2.0,2.0,2.0,1981.0,"Nestled on over an acre of serene land surrounded by majestic oak trees. With over 3,000 square feet of thoughtfully designed living space, this home invites a lifestyle of comfort and possibility."
single_family,,815000.0,2847.0,2.0,4.0,3.0,3.0,3.0,,2021.0,"Built in 2021, this impressive two-story home offers 3,anned living space on a generous.29-acre lot. The heart of the home is the open great room concept, seamlessly connecting the living, dining, and kitchen areas. Additional highlights include a three-car side-by-side garage (not tandem), owned solar for energy efficiency, and access to neighborhood parks and paved trails."
single_family,,1988888.0,2455.0,2.0,4.0,3.0,2.0,2.0,2.0,1939.0,"Set on a large, scenic lot with sweeping views, this 2,455 sq. ft. home offers tranquility just minutes from downtown and major commuter routes. Upstairs are three spacious bedrooms and a full bath with double vanity. A private-entry artists studio with kitchenette and full bath adds exceptional flexibility."
single_family,,749000.0,1622.0,1.0,3.0,2.0,2.0,2.0,2.0,1973.0,"Pinole home on a serene cul-de-sac has primary suite in opposite wing from two additional bedrooms & full bath. Living, dining, office and den spaces are interchangeable, with open kitchen as the hub. Enjoy nature and wildlife along nearby the Pinole Valley Multi-Use Trail and Pinole shoreline."
mobile,,389500.0,1728.0,,3.0,3.0,3.0,3.0,,2005.0,"is located on a corner lot in the desirable community. The large primary suite features a generous bedroom, two private bathrooms connected by a massive walk-in closet. The guest bedrooms are a comfortable size with plenty of closet space, another bathroom, a linen cabinet, & indoor laundry area."
single_family,,449000.0,1624.0,,2.0,3.0,3.0,3.0,2.0,2008.0,"Built in 2008, this 1,624-square foot sanctuary offers an unparalleled blend of luxury and utility. Nearly 2 acres of prime land providing ample space for equestrian pursuits, a custom vineyard, or your dream outdoor oasis."
single_family,,995000.0,1722.0,2.0,3.0,2.0,2.0,2.0,2.0,1946.0,"Built in 1946, the home offers 1,722 square feet of inviting living space designed to embrace its extraordinary surroundings. The main level features a spacious living room with a fireplace and walls of windows oriented toward the entertaining decks."
condos,condo,1028000.0,1425.0,1.0,2.0,2.0,2.0,2.0,2.0,1973.0,"2-bedroom, 2-bath condominium offers over 1, 400 square feet of comfortable living space. Perfectly positioned for convenience and lifestyle, this home is just moments from the shops and dining nearby parks, and top-rated schools."
single_family,,325000.0,1512.0,1.0,3.0,2.0,2.0,2.0,,2005.0,"This 1, features 3 bedrooms and 2 bathrooms, and a dedicated office space, offering comfort and functionality in a serene setting. The kitchen includes a breakfast bar and ample cabinetry, flowing into the dining area warmed by a cozy wood stove. Step outside to the covered back deck, ideal for relaxing and taking in the surrounding scenery."
mobile,,389000.0,1348.0,,2.0,2.0,2.0,2.0,0.0,1973.0,"2-bedroom, 2-bath, 1344 sq. ft. home Located in the coveted 55+ Gated Community surrounded by open space and Incredible views. Private primary suite has mountain views, a large mirrored wall to wall closet, vanity area with custom lighting, built-in cabinetry and slider out to private back patio."
single_family,,3988000.0,2641.0,2.0,4.0,3.0,2.0,2.0,2.0,1984.0,"4 bedrooms, including the primary suite, radiate from a central loft lined with extensive library storage. Wood floors on both levels with heated tile floors in the great room. curved courtyard extends the living/media room outdoors to a koi pond and bamboo garden."
single_family,,2495000.0,3556.0,1.0,4.0,5.0,4.0,4.0,3.0,2000.0,"Located in the heart of within the prestigious, guard-gated, this exceptional residence at offers luxury desert living with outstanding convenience. Ideally positioned just minutes from major freeways, Old Town La Quinta, shopping, dining, and outdoor recreation, this home provides effortless access to the best."
condos,condo,625000.0,1050.0,,3.0,2.0,2.0,2.0,,,"Three bedrooms, two bathrooms, private outdoor space, parking included, located in between and, one-block. Ideal setting with three blocks of green space both people and dog-friendly."
single_family,,1148000.0,1240.0,1.0,3.0,2.0,2.0,2.0,2.0,1966.0,"Main living areas are filled with natural light and feature double-paned windows and luxury vinyl plank flooring. The eat-in chefs kitchen offers, quartz countertops, an induction oven, and a counter-depth refrigerator. Additional features include an oversized two-car garage with a storage loft and dedicated laundry area."
townhomes,townhouse,920000.0,2212.0,2.0,3.0,3.0,2.0,2.0,2.0,2024.0,This beautiful townhome features 2212 sqft of spacious living. Enjoy the views of from both the large deck and the great room. This energy efficient home comes with that is paid for and not leased.
single_family,,1998000.0,1400.0,1.0,3.0,2.0,2.0,2.0,2.0,1955.0,"The home offers a spacious primary suite with an ensuite bath and 3 additional bedrooms ideal for family, guests, or a home office. Indoor-outdoor living takes center stage with floor-to-ceiling glass and 3 sliding doors that open to a new concrete patio. Energy efficiency and sustainability come together with a foam roof, owned solar, 3, and all-electric heat pump system."
single_family,,1425000.0,3136.0,,4.0,4.0,3.0,3.0,,1980.0,"The same owner for 40 years, the home started as a was added onto in the 80's. The expansive custom landscaped front and backyards feel like your own private park right outside your door. Enjoy the travertine patio, spa, gazebo, garden area, chicken coop, and barn."
single_family,,1425000.0,3059.0,2.0,4.0,3.0,2.0,2.0,3.0,1999.0,"Set on over half an acre, this impressive 3,059 sq. ft. residence offers four bedrooms, two private offices, and 2.5 bathrooms. The updated kitchen showcases shaker cabinetry, quartz countertops, stainless steel appliances, and recessed lighting. Other premium amenities include owned solar with upgraded electrical panel, 2 Tesla power-walls, level 2 EV charging hookup, smart-home systems."
single_family,,4495000.0,3663.0,3.0,4.0,4.0,3.0,3.0,,1909.0,"Rare 1909 four-bedroom plus den/office, three-and-one-half bath set on a sunny street-to-street lot in one of most beloved neighborhoods. With effortless access to downtown via, this residence blends enduring early-20th-century character with refined modern luxury."
single_family,,489000.0,2103.0,2.0,4.0,3.0,3.0,3.0,,2024.0,"Near-new 2024 two-story home offers 2,103 sq. ft. of living space on a 3,780 sq.ft. lot. Located directly across from the community park, enjoy easy access to open green space and a basketball court."
single_family,,2599000.0,4661.0,2.0,5.0,5.0,4.0,4.0,3.0,2002.0,"5-bedroom + office, 4.5-bathroom residence blends timeless elegance with modern comfort. Built in 2002 and thoughtfully updated with new interior paint, plush carpet, refinished hardwood flooring, new lighting, and refreshed landscaping."
single_family,,1295000.0,2612.0,2.0,3.0,3.0,2.0,2.0,3.0,1993.0,"Private gated community features top of the line curb appeal with a circular driveway 3 car garage, 2 fireplaces, separate family room and living rooms as well as a formal dining room. The HOA covers the water and private security gates."
single_family,,1298000.0,2809.0,3.0,4.0,4.0,3.0,3.0,1.0,2013.0,"Newer construction in where quality of life matches the quality of construction! Completed in 2013 with sweeping views of the lush hillsides, the home still feels like new. The entry level includes a living room, guest bedroom and full bath."
townhomes,townhouse,998000.0,1946.0,3.0,3.0,3.0,2.0,2.0,2.0,1995.0,"Enjoy breathtaking sunsets over with a panoramic sweep north into and south past the airport. High ceilings and walls of glass in the main living space add volume to the combined living, dining and kitchen areas. The primary suite is up a few stairs and includes a fireplace and open bookcases, a walk-in closet and private bathroom."
single_family,,899000.0,2378.0,1.0,3.0,3.0,2.0,2.0,2.0,2002.0,"This rare 3-bedroom plus optional 4th bedroom, media room, or office is the true unicorn of the community. Sitting at the end of a private cul-de-sac, the home delivers the south-facing backyard everyone dreams. The pool and spa feature a new white pebble finish that creates a striking turquoise glow."
single_family,,232500.0,1536.0,1.0,4.0,2.0,1.0,1.0,,1964.0,"The home features three separate heat sources for added convenience and cozy living: a natural heat woodstove for warm evenings, a natural gas monitor, and a central natural gas furnace. The property sits on a deep lot shaded by mature trees, providing a serene outdoor retreat."
single_family,,2999000.0,1524.0,1.0,3.0,3.0,2.0,2.0,2.0,1948.0,"First time on the market in nearly 50 years. offering on iconic with stunning, unobstructed bay views overlooking. One of the last homes on that has not been remodeled or rebuilt."
single_family,,1530000.0,2201.0,3.0,3.0,4.0,3.0,3.0,2.0,2024.0,"3b3.5b 2, 201 beautiful home w/ 3 spacious SUITES. Spacious master suite w/ double-sink vanity, tub & shower, and a large walk-in closet plus extra storage. Upgraded hard flooring and recessed lights throughout. Central heating & AC w/ dual zones, owned solar system."
single_family,,1195000.0,4314.0,2.0,5.0,4.0,3.0,3.0,4.0,2006.0,"Gourmet kitchen features rich cherry cabinetry, granite countertops, stainless steel appliances, center island with breakfast bar, and flows seamlessly to spacious great room with fireplace and crystal chandelier. Expansive primary suite includes luxurious retreat with fireplace perfect for office or exercise space, two walk-in closets, dual vanities, soaking tub, and separate shower. Secondary bedroom offers private balcony access."
single_family,,625000.0,1831.0,2.0,3.0,3.0,2.0,2.0,2.0,1985.0,"3 bedrooms, 2.5 baths, with a loft on the second floor. Conveniently located near schools, parks, shopping, dining, and freeway access."
single_family,,2299000.0,3463.0,2.0,5.0,3.0,3.0,3.0,3.0,1996.0,"5 bed, 3 bath, sits on a 15,000 sqft lot tucked away on a private cul-de-sac. Stone accented entry welcomes you to a dramatic 2 story foyer leading to a living room filled w/natural light, soaring ceilings, clerestory windows, & elegant fireplace."
townhomes,townhouse,1188888.0,1476.0,2.0,4.0,3.0,2.0,2.0,,1963.0,"The only four-bedroom townhouse (not a restrictive co-op) or condo for sale in all of southwest. Built at a time when land was more readily available, hence the ample park and green space."
townhomes,townhouse,720000.0,1467.0,2.0,3.0,3.0,2.0,2.0,2.0,1977.0,"This lakefront townhome offers peaceful surroundings, beautiful views, and an exceptional value. Residents of enjoy resort-style amenities including a gated entrance, private lake, pool and spa."
condos,condo,830000.0,1040.0,1.0,2.0,2.0,2.0,2.0,,1973.0,"Two homes are located in the same area as Fisherman's Wharf. There is 24/7 mobile security and a full fire department on site. Tennis, basketball & pickleball courts are also located here."
multi_family,,1098000.0,2547.0,,6.0,,,,,1964.0,"Three units, each equal to 849 square feet, with two bedroom and one bathroom. Two units are currently vacant, providing immediate income potential with market rents."
single_family,,675000.0,1240.0,1.0,3.0,2.0,2.0,2.0,,1976.0,"Single-story, 3 bedroom, is the kind of place where life just flows, it is comfortable, functional, and ready for you from day one. The family room feels open and airy with cathedral ceilings and a classic brick wood-burning fireplace, the perfect spot to cozy up on cool evenings or gather with friends and family. All bedrooms are designed for comfort, featuring ceiling fans and easy access to the beautifully updated bathrooms."
single_family,,1950000.0,2748.0,1.0,5.0,4.0,3.0,3.0,,1911.0,"1911 multi-structure property at nue offers a rare retreat defined by light, flexibility, and indoor-outdoor living."
condos,condo,559000.0,1493.0,2.0,2.0,2.0,2.0,2.0,1.0,2005.0,Stunning 1493 sq ft Loft in NOBE; one of hottest neighborhoods. Top-floor residence has 2 BR & 2 BR one on each floor. The bldg is certified and has in-floor hydronic radiant heating.
single_family,,415000.0,1887.0,1.0,5.0,2.0,2.0,2.0,,2003.0,"split-wing home offers 1,887 sq ft with 5 bedrooms and 2 full bathrooms. All conveniently located within 1 mile of schools, 1.5 miles to parks, and under 3 miles to shopping and dining."
condos,condo,737000.0,910.0,1.0,2.0,2.0,2.0,2.0,2.0,1985.0,"Unit 6 a beautifully remodeled 2 bedroom, 2 bath condo in the heart where vibrant city living meets everyday convenience. Just three blocks from and the trails your mornings can start with a peaceful canyon walk, tennis match, or coffee in hand as you explore one of most beloved outdoor spaces."
single_family,,1750000.0,3443.0,2.0,4.0,3.0,3.0,3.0,3.0,1994.0,"North-facing estate-style home with panoramic views from to the. 3,443 sq ft with 4 bedrooms and 3 bathrooms on an expansive 28,800 sq ft lot. Versatile floor plan with well-separated living areas ideal for guests or extended family."
single_family,,11995000.0,6015.0,2.0,5.0,8.0,7.0,7.0,2.0,1935.0,"Elegant formal spaces flow effortlessly outdoors, creating a home designed for entertaining. Five en-suite bedrooms and eight spa-inspired baths are complemented by a media room, gym, two laundry rooms, and five fireplaces."
single_family,,445000.0,1805.0,1.0,4.0,3.0,3.0,3.0,2.0,1996.0,"4-bedroom, 3-bath home features a spacious open floor plan with an updated kitchen overlooking the pool. A large front flex room offers endless possibilities ideal for a formal dining area, home office, playroom, or additional living space. Additional highlights include parking, low-monthly-cost solar, and a modern neutral palette throughout."
single_family,,3198000.0,3417.0,1.0,5.0,5.0,4.0,4.0,3.0,1951.0,"This exceptionally, newly renovated estate is located on a serene cul-de-sac in the highly sought after Westside Alamo. This nearly 3, boasts 5 generous bedrooms and 4.5 bathrooms. The heart of the home is a spectacular chef's kitchen featuring custom cabinetry, a coffered bead board ceiling and granite countertops."
single_family,,899000.0,2633.0,1.0,3.0,4.0,3.0,4.0,2.0,1960.0,"Built in 1960 and lovingly updated, it features us office/den and 3 baths in the main home, plus a fully remodeled detached casita for visiting friends or family. Outdoors, you'll find a large grassy yard ideal for pets and playtime, a sparkling pool and spa, and breathtaking southern mountain and golf course views."
